x_west,flux_west,x_east,flux_east,x_west,Tw_west,x_west,Tf_west,x_east,Tf_east,x_east,Tw_east
0.1449829359,0.2021495818,94.1910399858,0.2113981033,0,356.0937362,0,290,0.2492909211,290.3401447058,0.1993368558,356.2728826682
0.3676426383,0.229895144,93.9255873405,0.2311884874,0.410955025,365.7940354,1.271164074,292.6477167,0.5989693782,290.7896288324,0.3117335027,364.4420300838
0.5649958966,0.2512831124,93.7071321047,0.2471683006,0.515222788,372.1295433,1.557900424,293.7996272,1.1484640964,292.4030109211,0.5240382802,376.2128769735
0.676751995,0.272710154,93.5150183977,0.2634554179,0.710724845,382.2087605,1.844636774,294.5850208,1.6979588146,294.0671878035,0.748831574,389.3064729389
0.800245656,0.2914147803,93.3035347931,0.2807504927,0.901882412,391.6160298,2.131373124,295.7107515,2.2474535328,296.036133449,0.9736248678,409.6158321875
0.9011348616,0.309836005,93.029671337,0.297566173,1.023528136,401.2152842,2.418109474,296.0249089,2.796948251,298.1066686821,1.1234870637,416.3873010924
1.0223223659,0.3298295786,92.6809486239,0.3136996383,1.292886525,415.4221808,2.704845824,297.4909769,3.3464429692,300.4311778844,1.3045705504,430.4217407808
1.1197361511,0.3498928661,92.2074081669,0.3270673667,1.414532249,427.27726,2.991582174,298.9570448,3.8959376874,303.212840231,1.5195514385,444.5252798856
1.195586047,0.3670028977,91.6587905031,0.3329676054,1.536177973,436.2525629,3.278318524,299.2712022,4.4454324056,306.2992713407,1.6765499294,458.1711233945
1.3048358798,0.3861166402,91.1099833177,0.3329676054,1.700083738,444.4119292,3.565054874,300.7372702,4.9949271238,309.1825232751,1.8692298956,471.417082399
1.3974935479,0.4061691492,90.5611912079,0.3334369426,1.818569833,453.9974704,3.851791223,301.8891807,5.544421842,312.1165700032,2.022660239,483.8124847152
1.4901965348,0.4270374611,90.0124701687,0.3361188693,1.909804126,462.55452,4.138527573,304.2453613,6.0939165602,315.1014115253,2.1974994675,497.1020710409
1.6273430489,0.4489622626,89.4638029708,0.3404770001,2.01407189,472.2017707,4.425263923,305.9994069,6.6434112784,318.2894322226,2.3973157287,511.1360998891
1.725701384,0.4717611102,88.9151530022,0.3453715164,2.135717614,480.2171482,4.712000273,307.4916547,7.1929059967,320.867915394,2.5971319898,524.9606002128
1.8296066913,0.494539571,88.3665202628,0.3508024179,2.31384171,491.5991213,4.998736623,308.9315428,7.7424007149,323.0400402147,2.8024987027,538.4280042827
1.938591478,0.516015948,87.8178659869,0.3555628378,2.418109474,501.9663161,5.285472973,310.6332288,8.2918954331,324.9073962725,3.0411681257,551.6463478668
2.0317238488,0.5374799407,87.2691923281,0.3597198242,2.509343767,510.7907735,5.572209323,312.2040159,8.8413901513,326.3683939797,3.2881632264,566.0130355824
2.1425465636,0.5599393526,86.7205272839,0.3641450032,2.630989491,518.0382106,5.858945673,313.2512073,9.3908848695,327.5754177177,3.5462592304,580.925806064
2.2417387674,0.5799144186,86.1718299349,0.3675644597,2.822147058,529.3653308,6.145682023,315.0052529,9.9403795877,328.6808518681,3.8459836221,593.8182076927
2.3348652526,0.6012724629,85.6229581399,0.3655530147,2.926414821,537.860671,6.432418373,317.2305346,10.4898743059,329.6846964308,4.2456161444,606.9975453649
2.4456673679,0.6233610553,85.1485990248,0.3534340585,3.017649115,545.9034749,6.719154722,318.9060408,11.0393690241,330.7901305812,4.7451567974,616.3949142152
2.5175731571,0.6443768914,84.7988388785,0.3372698628,3.121916878,552.3212621,7.005891072,320.2935694,11.5888637423,332.0987439069,5.2946515156,618.9226025928
2.6185653599,0.6646522135,84.4989564751,0.3206754414,3.255727175,560.8508854,7.292627422,321.8643565,12.1383584605,333.864510377,5.8441462338,613.9326614838
2.7195300967,0.6844331096,84.1990701234,0.3039580983,3.377372899,566.6872321,7.579363772,322.5973905,12.6878531787,335.5794820534,6.3187098541,602.8934339211
2.8204605011,0.7035959733,83.8582098777,0.2320313786,3.543332423,575.6337372,7.866100122,323.8801999,13.2373478969,337.5484276988,6.6683883111,590.057963012
2.9416607575,0.7238191018,83.5950219028,0.2483623965,3.721456519,583.9576621,8.152836472,324.9273913,13.7868426152,339.7713473134,6.9113467196,577.4893888651
3.0390137253,0.742787589,83.3995663263,0.2653914337,3.916958576,592.4324324,8.439572822,325.9745827,14.3363373334,342.0958565156,7.188364718,565.2417680969
3.1398136666,0.7596019293,83.2005716032,0.2831843412,4.125494103,599.6318733,8.726309172,326.917055,14.8858320516,345.2330824191,7.4276901035,552.4006749012
3.2513115853,0.7763813667,82.9822019154,0.3018274566,4.373130041,607.8785055,9.013045522,327.8595272,15.4353267698,349.0814354362,7.6868961979,538.4450465447
3.3521311451,0.7935488684,82.7721224816,0.3196920683,4.659866391,614.0045751,9.299781872,328.1736847,15.984821488,352.2186613397,7.8922629107,526.2413262007
3.467317345,0.8125180443,82.5536840263,0.3361942985,4.90750233,617.4864865,9.586518222,329.220876,16.5343162062,354.8987340987,8.0920791719,513.8747609569
3.6252974165,0.8313829249,82.3297601052,0.3545034767,5.259406032,620.0782852,9.873254571,329.220876,17.0838109244,357.4264224763,8.2918954331,501.2288243471
